# snr zf-31 mmse-31 zf-5 mmse-5
-3.0 0.39089274999999996 0.353714 0.31241425 0.26685625
0.0 0.32862474999999997 0.27915324999999996 0.2336325 0.1908995
3.0 0.25280199999999997 0.19430899999999998 0.15203125 0.11506174999999999
6.0 0.16967474999999999 0.1120905 0.08115750000000002 0.05417850000000001
9.0 0.09536025 0.049703250000000004 0.037224 0.020314500000000003
12.0 0.04452999999999999 0.01636275 0.0198865 0.00831675
15.0 0.01944625 0.0055467500000000005 0.01233075 0.0045865
18.0 0.00934625 0.00217725 0.009266499999999999 0.0030717500000000003
21.0 0.006062500000000001 0.00141475 0.007804750000000002 0.0025905
24.0 0.004492 0.00120625 0.006622250000000001 0.00233325
27.0 0.0039365 0.0011715 0.0066254999999999994 0.00217825
30.0 0.0035800000000000003 0.0011370000000000002 0.006515000000000001 0.0022475
