# snr hybrid-5 hybrid-31
-3.0 0.31656225000000004 0.33285125000000004
0.0 0.2214625 0.23355674999999995
3.0 0.131863 0.14435375
6.0 0.06326975 0.074085
9.0 0.02531525 0.0315335
12.0 0.010521250000000001 0.013239750000000003
15.0 0.00605725 0.00653125
18.0 0.00419925 0.00427
21.0 0.0033145 0.0034417500000000004
24.0 0.0029442500000000003 0.0030105000000000006
27.0 0.0028555000000000004 0.002709
30.0 0.00260675 0.0026357499999999996
