# split hybrid-5-snr-3 hybrid-5-snr-6 hybrid-5-snr-9 hybrid-5-snr-12 hybrid-5-snr-15 hybrid-5-snr-18 hybrid-31-snr-3 hybrid-31-snr-6 hybrid-31-snr-9 hybrid-31-snr-12 hybrid-31-snr-15 hybrid-31-snr-18
0.1 0.1335585 0.06848299999999999 0.0310355 0.0150515 0.00898925 0.0066862499999999995 0.19377475000000002 0.12479124999999999 0.07748475 0.052178999999999996 0.039276250000000006 0.03275324999999999
0.2 0.13117525 0.064848 0.026830000000000007 0.011740500000000001 0.00682325 0.0047297500000000004 0.16690175 0.09409525 0.048608000000000005 0.025971000000000004 0.016019500000000002 0.011583750000000004
0.3 0.13117099999999998 0.06375700000000001 0.025825749999999998 0.01111475 0.0061945 0.0042840000000000005 0.15557925 0.08373599999999999 0.038428750000000005 0.01819825 0.0099005 0.006893000000000001
0.4 0.131365 0.06285275 0.024894250000000003 0.010651750000000001 0.005951250000000001 0.0042045 0.14805875000000002 0.07739375 0.034217500000000005 0.014697750000000002 0.007675500000000001 0.005281750000000001
0.5 0.13159175 0.06326074999999999 0.025046000000000002 0.01053875 0.00586325 0.0042105 0.14379275000000002 0.073648 0.03127525 0.013190250000000002 0.006550750000000001 0.00418675
0.6 0.132921 0.06304675000000001 0.025047250000000004 0.01084975 0.0061122500000000005 0.0042762500000000005 0.14059349999999998 0.07037875 0.02979275 0.012116750000000003 0.006000750000000001 0.0036965
0.7 0.13527124999999998 0.06344375 0.025544000000000004 0.0110775 0.0061920000000000005 0.00432525 0.13725275 0.0687245 0.028533000000000003 0.011398000000000002 0.0056552500000000006 0.0035572499999999996
0.8 0.13727775 0.065193 0.026377750000000002 0.011278500000000002 0.006431999999999999 0.00435175 0.1346375 0.0671615 0.027031 0.010941250000000003 0.005325 0.0032629999999999994
0.9 0.14100975 0.066528 0.02688725 0.011827 0.006653500000000001 0.004773 0.13287474999999999 0.06562425000000001 0.026284250000000002 0.010564 0.0052435 0.0032307500000000005
1.0 0.14452425 0.06807625 0.027510250000000003 0.012368750000000001 0.007004000000000001 0.004525250000000001 0.13117575 0.06404625 0.026287 0.010390000000000002 0.00505825 0.0031182500000000004
