# snr zf-5-0 mmse-5-0 lms-5-0 hybrid-5-0 zf-5-1 mmse-5-1 lms-5-1 hybrid-5-1 zf-5-2 mmse-5-2 lms-5-2 hybrid-5-2 zf-5-3 mmse-5-3 lms-5-3 hybrid-5-3
-3.0 0.3018215000000001 0.2571515 0.4226345 0.32813925000000005 0.303451 0.25689025 0.42162849999999996 0.30369825 0.324167 0.27792599999999995 0.43216225 0.33721724999999997 0.31910325 0.27436250000000006 0.43006575 0.3098715
0.0 0.21290950000000003 0.17281575 0.28187 0.2144575 0.21438575 0.17291675 0.28740999999999994 0.202233 0.2566635 0.21209575000000006 0.31435050000000003 0.25023475 0.24819125 0.20463275 0.30812875000000006 0.22208224999999998
3.0 0.12028475000000001 0.08905149999999999 0.15209300000000003 0.112478 0.12231449999999999 0.08921275000000001 0.16380125000000004 0.10688900000000001 0.19034375 0.14784625 0.21259499999999998 0.16729700000000003 0.17455825 0.1342895 0.19735999999999998 0.14158199999999996
6.0 0.045082750000000005 0.027988500000000006 0.05713975 0.040961000000000004 0.04815125000000001 0.029474250000000007 0.07007725000000001 0.0381395 0.133987 0.0927205 0.14032224999999998 0.10162875000000002 0.10627950000000001 0.07160225 0.114869 0.07498175
9.0 0.00805875 0.00338675 0.011373000000000001 0.00832675 0.011130000000000001 0.005721250000000001 0.020956000000000006 0.008595750000000001 0.09337575 0.053735750000000006 0.101118 0.059369000000000005 0.052186500000000004 0.027844250000000004 0.06675675000000002 0.031119750000000005
12.0 0.000384 6.425e-05 0.00111225 0.0008635 0.003025 0.0025592500000000003 0.005832 0.00295875 0.06962049999999999 0.029837500000000006 0.08065175 0.035689 0.019905000000000003 0.00709525 0.04310775000000001 0.009803250000000001
15.0 9.25e-06 0.0 0.000258 6.525000000000001e-05 0.0025525 0.0024977500000000004 0.0032495000000000007 0.0025824999999999997 0.05557825 0.017415000000000003 0.07108375 0.0226095 0.005128 0.000901 0.032891750000000004 0.0024705
18.0 4.5e-05 0.0 0.00025375 9.5e-06 0.0024737500000000003 0.00249475 0.0028727500000000003 0.0024974999999999997 0.045433749999999995 0.011191500000000002 0.064989 0.016108500000000005 0.0009370000000000001 3.125e-05 0.029167250000000002 0.00045200000000000004
21.0 0.0 0.0 0.00017375 4.75e-06 0.00253275 0.00248675 0.002825 0.0024839999999999997 0.03674475000000001 0.00785925 0.0630235 0.012702000000000001 0.00013925 0.0 0.026759 6.950000000000001e-05
24.0 0.0 0.0 0.00019325 1.7500000000000002e-06 0.0025137500000000004 0.00251425 0.002784 0.0025502500000000004 0.029345750000000004 0.005034 0.061782000000000004 0.010460500000000001 4.575e-05 0.0 0.02736625 1.475e-05
27.0 0.0 0.0 0.0002025 0.0 0.0024814999999999998 0.0024977500000000004 0.00273475 0.002507 0.025208250000000005 0.00251175 0.06088775 0.0088365 9.025e-05 0.0 0.02588875 8.750000000000003e-06
30.0 0.0 0.0 0.0001295 0.0 0.0024964999999999996 0.002495 0.0027195 0.0025210000000000002 0.022778000000000003 0.00073525 0.060951 0.007409000000000001 7.125e-05 0.0 0.025709750000000003 6.25e-06
